Number,Title,Description,Location,Time,Term,Company,Category,Source,Salary
11,Sous Chef,A Sous Chef with solid knowledge of British cuisine is needed to help move a fabulous Gastro pub forward. The Sous Chef must understand the Modern British cusine inside out and upside down to be considered. The Sous Chef will get weekdays off The Sous Chef must be in the North West of London or have access to the overground from Richmond or Gospel Oak. Salary for the Sous will be ****k This job was originally posted as www.caterer.com/JobSeeking/SousChef_job****,South East London,,,Cherryred Recruitment,Hospitality & Catering Jobs,caterer.com,27000
12,Fitter  Successful Accident Repair Centre,"Fitter  Successful Accident Repair Centre  Middlesex Ref: LB**** Salary: ****  Bonus on hrs sold over **** OTE ****  Working Monday  Friday 8am5.30pm with Saturdays as and when required, which will be paid overtime. My client are a highly successful accident repair centre group owned by a highly reputable insurance company. Due to their continued success and growth my client is seeking to add a new member to the team. Our client is looking for an experienced MET Fitter who is C G or NVQ trained. The ideal candidate needs to be thorough in their work and be able to work to deadlines to ensure work is flowing through the workshop productively. The ideal candidate will also be a team player and hardworking. The ideal applicant should be ATA acredited but if we have someone with excellent experience and a great work record my client will consider them as well. They should have a min of 5 years solid experience with an ability to work in a fast paced department with an abaility nto produce high quality worek at all times. Our client is seeking someone who has excellent communicate skills and takes a pride in their work. This is a professional friendly company and they are really looking for someone who will enhance the team. My client offer excellent career progression with a state of the art workshop. This is a great chance to work within a very successful motor dealership who rewards hard work and dedication and a company that offers you the opportunity to further your skills. Candidates must be eligible to live and work in the UK. Only successful candidates will be contacted. Contact: Liz at Mai Day Recruitment Services on **** **** **** Email: lizmaidayrecruit.co.uk This job was originally posted as www.totaljobs.com/JobSeeking/FitterSuccessfulAccidentRepairCentre_job****",UK,,permanent,Mai Day Recruitment Services,Engineering Jobs,totaljobs.com,30420
13,Field Service Engineer,"Field Service Engineer Ilford, Stratford, Romford  London Forklift Trucks and associated MHE Salary **** ****pa  overtime  benefits The Company: The client is one of the largest manufacturers and distributors of forklift trucks and associated materials handling equipment. . It has multiple sites here in the UK and is a genuine blue chip employer. They are currently undergoing major expansion plans and a number of exciting opportunities have arisen as a result. Job Duties: Service and repairs on LPG, Diesel and Electric Forklift trucks and associated materials handling equipment Conduct planned maintenance to predetermined schedules Attending customer breakdowns Completion of associated paperwork Person Specification: The ideal candidates will have experience working on forklifts and materials handling equipment, however individuals with experience working on construction plant, agricultural plant or capital equipment will also be considered Ideally apprentice trained although individuals qualified by experience will also be considered The successful candidate will receive first class product training and there will be excellent career development opportunities available going forward. An additional benefit is there will also be voluntary overtime available which can increase the salary to OTE ****pa",Little Ilford,,permanent,M Tec Recruitment,Engineering Jobs,cv-library.co.uk,23000
14,Business Development Manager  Freight / Logistics,"Job Title  Business Development Manager Location  Birmingham / Surrounding Areas Salary  ****k****k Basic / ****k  OTE (uncapped) plus benefits (Company Car, Health, Pension) Immediate Interviews For Qualified Candidates This is an opportunity to join a very successful leading player in the freight sector, as this multibillion pound operation has continued to power through a period of economic uncertainty. With a global network, they boast an outstanding ability to offer clientele a full and effective logistics solution. Position purpose: To drive sales here in the Birmingham region, specifically handling a freight service into a variety of business sectors. You will also be taking over an existing portfolio of existing clients to help balance the new business account management functions of the role. Also In additional to managing clients' needs and expectations through the sales process, you will also need to coordinate and develop internal relationships across different business functions, to enable the delivery of this highly regarded and at times, customised logistics solution. You will have the ability to operate from a fully supported home based office; you will also the flexibility to work from one of the company's offices in their impressive UK network. Skills and experience: Due to the nature of the market and the solution based sell involved, you will be a new business hunter with the ability to listen and fully understand a client's needs and expectations. You will also represent this market leader in a professional manner, up holding their current market reputation. Sales experience within the freight sector is not necessary, however a proven track record in pure new business development is required. Remuneration package: On offer for the successful applicant, is the opportunity to continue your career development within a market leading organisation, with future options for advancement, role diversification and career stability. Although package is highly negotiable dependent on previous experience, initial indications are a base salary of ****k  ****k. Also in place is an impressive uncapped commission structure leading to on target earnings circa ****k, with the ability to earn substantially more. Also tools of the trade including a fully maintain company car, laptop and phone etc. If you would like to evaluate this opportunity further, apply online today for a confidential conversation. First round interviews have commenced. We currently have over **** live roles to offer and specialise in sales recruitment. Current vacancies in Merchant Services / Payment Processing, Freight, Advertising, Office Stationary, EPOS and other product service based sectors. Send your CV to a consultant for advice on your next career move. This job was originally posted as www.SalesTarget.co.uk/JobSeeking/BusinessDevelopmentManagerFreightLogistics_job****",UK,,,H2 Recruit,Sales Jobs,salestarget.co.uk,27500
15,Trainee karate instructer/manager,"Sports Industry – Martial Arts “Take Charge of Your Life” A well established traditional karate organisation with over **** students worldwide seeks **** people with an interest in the martial arts to add to our Operations/Marketing department. The successful applicants will receive training in marketing, club management and karate. This is a unique position and a fantastic career opportunity in a growing industry. Prior experience not essential. Own car required. Phone Keiron King on ****",Edgware,full_time,,GKR Karate,Teaching Jobs,Jobcentre Plus,16800
16,"Soft Furnishings Sales Consultant (Sales Designer, Field) BLUH****","Soft Furnishings Sales Consultant (Sales Designer, Field) BLUH**** North Cornwall  Bodmin, Wadebridge and St Austell OTE **** Becoming a Home Consultant can be a fabulous career. If you enjoy meeting customers in their own home, want the flexibility of running your own business and enjoy the personal satisfaction of having delighted customers, then please read on All of the consultant positions are selfemployed, giving you the freedom to operate your own business area. Your leads are provided for free from national marketing campaigns and the vast majority of Customers convert so that means no hard sell All that our client asks is that you possess a car, a personal computer and a mobile phone and they will provide initial training free of charge and support you with a dedicated ongoing field based program. So what does a Home Consultant actually do? Well it's a mix of interior design, measuring, fitting, selling, offering advice and lots of good old fashioned customer service. Your income will be made up of a generous mix of commission on all products sold as well as regular bonus schemes and incentives. This role would be ideal for an individual who is currently working part time and is looking to increase their income. Head office are supportive, commission is paid on time and you have the backing of a trusted household name. Our clients' consultants have come to them from all walks of life, so relevant experience is less important to them than attitude, outlook and willingness to learn. Ideally, they need lively, outgoing personalities who are at ease with dealing with customers in their own homes and who are confident in their own ability to provide exceptional customer service. This is a Blue Octopus Recruitment Ltd vacancy who are operating as an employment agency. Once you have clicked to apply for this vacancy, we will then send you more information on the role including a copy of the application form via email. This job was originally posted as www.totaljobs.com/JobSeeking/SoftFurnishingsSalesConsultantSalesDesignerFieldBLUH****_job****",Bodmin,part_time,,Blue Octopus Recruitment Ltd,Sales Jobs,totaljobs.com,14000
17,Neighbourhood Manager,Job Title: Neighbourhood Manager Duration: Approximately **** month Pay: ****ph Location: Hacnkey Job Description: The main purpose of the role is: To provide a high quality housing management service to tenants and leaseholders. To act as the Associations ambassador building positive relationships with tenants and leaseholders Taking responsibility for a patch liaising with other departments to aim for right first time resolution of tenancy and estate issues To assist the Association in meeting its key performance indicators around housing management The ideal candidate will: Have a minimum of 2 years housing management experience Valid CRB Able to use Microsoft packages and Northgate Housing,The City,,contract,McGinley Human Resources,Other/General Jobs,cv-library.co.uk,29760
18,Buyer  Residential,"Buyer – Residential Essex ****  **** Permanent We are currently looking for an experienced Buyer to join a leading residential developer in the Essex region. With operations across the UK, the Buyer will be joining a highly reputable business which takes great prides in building new homes of impeccable quality. Buyer – Residential – key responsibilities and duties: Procurement of materials and subcontractor packages Evaluating subcontract tender returns and preparing reports Negotiating subcontract terms Preparing agreements and associated documentation Working effectively as part of a dedicated project team Buyer – Residential – qualifications, skills and experience: Comprehensive experience in a buyer capacity – materials and subcontract Exceptional negotiating skills and the ability to communicate with people at all levels Firm knowledge of materials and sub contract procurement Ability to work efficiently and effectively as part of a team Experience within the residential sector This is an exceptional opportunity for a Buyer with residential experience to join a leading developer based in Essex. Apply now, send a CV to paul.gurneynovouk.com or call Paul on **** **** **** for more information. This job was originally posted as www.totaljobs.com/JobSeeking/BuyerResidential_job****",UK,,permanent,Novo UK Recruitment Ltd,Engineering Jobs,totaljobs.com,42500
19,Restaurant & Bars Manager,"Where you ll be working Set in **** acres of parkland right by the River Ure close to both York and Harrogate, our 55 bedroom hotel boasts a mix of the traditional and contemporary across a site that includes an **** hole golf course, Fitness, Spa and Conference facilities, and all in an ideal location close to the A1. We re dedicated to making our hotel a fantastic place to stay and work where you ll enjoy free membership of our Leisure Club, incentives and excellent additional benefits after a qualifying period. What you ll be doing As a Restaurant ll lead, inspire and motivate the Restaurant ll need To have a great personality and be genuine, approachable, attentive and instinctive To enjoy the buzz of being busy To be smart and well presented Previous experience in a hotel at management level Excellent standard of numeracy, literacy Excellent operational knowledge and experience of IT To know how to maximise sales opportunities through upselling and have excellent productivity knowledge Excellent level of spoken and written English To be able to recognize and develop future stars To be able to work shifts that generally will be between 7am and 11pm, which will include weekends and bank holidays What you ll get A refreshingly different work experience with a business that will value your individuality and inspire you to achieve your potential, through great training and development  we re proud to have achieved Best Places to Work in Hospitality Excellence in Training Award Last but not least a competitive salary and the following benefits Free meal on duty Discount entitlement Pension scheme Use of leisure club Use of golf course Free parking Uniform provided",York,,,QHotels,Hospitality & Catering Jobs,jobs.catererandhotelkeeper.com,20000
20,Anatomical Pathology Technician,"We are currently looking for an Anatomical Pathology Technician They must have experienece and be fully qualified within this field. This job entails of: Helping to provide and monitor efficient and effective body registration and release procedures, ensuring the correct recording of all information and documentation involving the body including completion of the mortuary register, release forms, cremation forms, burial orders and property receipts as required by statute. Ensure all the relevant documents including medical notes are present in order for the postmortem to take place Carry out removal of cardiac pacemakers, radioactive implants and the deactivation and removal of defibrillators from the body prior to cremation Maintain postmortem instruments and equipment in good condition and working order. Ensure appropriate cleaning, disinfection and sterilisation is carried out on instruments, equipment and on the fabric of the mortuary Full time position, however only a **** day contract with possiblity of extension If intersted please contact Claire on **** **** .",Bradford,full_time,,24 HR Recruitment Ltd,Healthcare & Nursing Jobs,Jobcentre Plus,19392
21,Personal lines Sales Advisor,"A very well respected Personal Lines Broker with a recognised local presence are seeking an experienced motor/household account Broker who have worked in a broking/insurance office. Personal Lines Broker Salary: **** Bonus JOB DESCRIPTION Working in a small team dealing with motor & household insurance risks and assisting in growth of the business, undertaking an active role in sales. Duties will include the calculation/negotiation of renewal terms, production and processing of renewal and midterm documentation, invoicing, speaking with Insurers. Daytoday contact with clients, primarily face to face. PREVIOUS EXPERIENCE REQUIRED Essential At least 12 months sales experience in the Private Car/Household insurance market",Slough,,permanent,Coast Specialist Recruitment,Accounting & Finance Jobs,cv-library.co.uk,18000
22,Configuration Management Engineer,"Configuration Management Engineer required for a Leading client based in the City of London. This Configuration Management Engineer role will have responsibility for developing and implementing configuration management as well as build release processes for the companies' software environments and deliverables. My client is a Global organisation, and for that require a Configuration Management Engineer who has worked in a complex and busy environment. A strong configuration management background is of course essential for this role, as well as experience with at least **** of the following: Accurev, Mercurial, Subversion, CVS or similar tool. My client is looking for the following experience: Strong Configuration Management background Excellent understanding of the principles of ALM and SDLC as it applies to version control and source code management. Experience of CM in a Client Server or web environment Maintaining SDLC processes for the purposes of Internal and External Audits Strong analysis capability and ability to drive process improvement Strong understanding of the software development life cycle including agile development and test processes. Experience/working knowledge of working with highly complex interdependent application sets and sizeable IT infrastructure estates. Experience in using JIRA as a workflow tool is preferable. Proficiency with the following tools is required: Continuous Integration: Hudson, Bamboo, Cruisecontrol, TeamCity Build and Dependency Management: Maven, Ant and/or Ivy Knowledge of the following is highly desirable: Java/J****E, Groovy and Grails Application Servers: Tomcat **** and **** JBoss Automated Deployment: Puppet, Chef, Controltier Web Servers: Apache, IIS Scripting languages: Javascript, VBScript, Perl, Python, Shell Script, PHP Issue Management tools: JIRA, Confluence My client is looking for exciting and ambitious individuals to join their expanding IT function. If you are looking for a new challenge, then click apply Michael Rothstein Ltd (Technology Recruitment Specialists) acts as both an employment agency and an employment business. Please note due to the high volume of response only successful candidates will be contacted.",London,,permanent,Michael Rothstein Ltd,IT Jobs,jobserve.com,40000
23,Security Guard,"Currently we require a grounds and warehouse security office, no experience necessary as full training and support is provided. We require you to have excellent communication skills, both written and verbal are essential, customer service plays a part with this role as you will be dealing with authorised customer and unauthorised persons on various premises. Duties include patrolling offices and shop floors, deterring theft and liaising with police at relevant times. To apply please supply your C.V to Martin.",Exeter,full_time,,aquaseal exeter,Other/General Jobs,Jobcentre Plus,12048
24,"Clinic Manager – Renal, Lancashire, UK  Blackburn","Clinic Manager – Renal, Lancashire, UKPermanent Full Time ****K plus 20% bonus based on financial and personal objectivesOur client is a leading independent renal care provider in the UK. They are renowned for developing the best renal care services in the fields of dialysis, transplantations or preventive care and lifestyle related services in the world.Our client is looking to hire an experienced Renal Nurse with strong leadership skills and clinical expertise to manage two clinics in close proximity of one another; Accrington and Burnley areas of Lancashire. If you are a strong patient advocate and excellent team lead, perhaps this position is for you?The successful person will be: An NMC registered Nurse – Adult Branch Possess a post graduate qualification in Renal Nursing – Diploma, ENB Course 136 or equivalent Have at least 2 years experience in Haemodialysis working at a senior level Experience managing and leading a team of Nurses Some experience in the private sector and strong business acumen Understanding of health and social care act **** and its implications for independent healthcare providers Great communication skills; written and spoken Sound IT skillsBenefits include;Pension, Life Assurance, Private Medical CoverCpl Healthcare Contact: Catriona Kelly, Nursing Consultant, CPL Healthcare Ph: **** **** **** (Ire) **** **** **** (UK) E: catriona.kellycplhealthcare.com www.cplhealthcare.com RGN: nursing jobs England, nursing jobs in England, nursing jobs Lancashire, nursing jobs in Lancashire, nurse jobs, nurses jobs in England, NHS nursing jobs, nurses jobs, nursing job vacancies, private nursing jobs, staff nurse jobs, nursing agencies, graduate nursing jobs, graduate nursing jobs, staff nurse job description, jobs in nursing, nursing job, nurse job, nurses job description, nursing job, nurse job, newly qualified nurse jobs, nursing vacancies, jobs for nurses, registered nursing jobs, nursing opportunities, nursing positions, careers in health care, nursing in Lancashire, nursing in Blackburn, nursing job search, jobs for nurses, career in healthcare, find nursing jobs, healthcare careers, nurse recruitment, Cpl Healthcare, Cpl, healthcare jobs, jobs in healthcare, agency nursing, nursing agency, nursing careers, nursing careers UK, nursing careers England, nursing careers Britain, nursing recruitment UK, nursing recruitment England, nursing recruitment Britain, nursing positions, nursing in UK",Blackburn,full_time,,CPL Healthcare,Healthcare & Nursing Jobs,staffnurse.com,40000
25,Customer Service Representative,Excellent Temporary Opportunity based in the Norwich Location Customer Service and Administration based role and is an ongoing temporary post. Full time hours over Monday to Friday at an hourly rate of **** Your role will include: Taking inbound Calls Logging information on internal systems Working as part of a team Speaking to Customers Filing Customer Correspondence Skills required: Excellent attention to detail Clear and confident communication manner Ability to manage your own work schedule Display initiative and team work Hours of work 09001730 Monday to Friday at a rate of **** per hour Please apply today for this temporary role based in Norwich. This job was originally posted as www.totaljobs.com/JobSeeking/CustomerServiceRepresentative_job****,UK,,contract,Tate Hertfordshire,Customer Services Jobs,totaljobs.com,13478
26,"French & MFL Teacher  Birmingham, West Midlands","French & MFL Teacher, KS****S**** Education French & MFL Teacher  Birmingham, West Midlands Location Birmingham, West Midlands (Region) Salary &**** ****  &**** **** per day Sector Education  Key Stage **** & **** Job Type Contract Job Description A Comprehensive School near Birmingham city centre is seeking to appoint an experienced French Teacher asap. Only Experienced KS**** & KS**** French Teachers should apply. Offering some of the best pay rates in the City with great assignments. Candidates should have a current enhanced CRB check and checkable references. Additional Resources Ltd is an Employment Business and an Employment Agency as defined within The Conduct of Employment Agencies & Employment Businesses Regulations ****",Birmingham,,permanent,Additional Resources Ltd.,Teaching Jobs,careers4a.com,31200
27,Senior Drilling Engineer  UK,SPENCER OGDEN are currently recruiting for a SENIOR DRILLING ENGINEER to join Leading Integrated Services Company with operations spanning across the globe. This opportunity will be reporting to the Chief Well Engineer and will have the responsibility giving drilling engineeringbased advice to multiple inhouse clients. Role,Surrey,,,,"Energy, Oil & Gas Jobs",oilandgasjobsearch.com,80000
28,GRADUATE SALES EXECUTIVE / GRADUATE ACCOUNT MANAGER,"GRADUATE SALES EXECUTIVE / GRADUATE ACCOUNT MANAGER Sector: Water Cooler Systems Location: Sheffield Salary: **** Basic Salary plus OTE **** and Company CarWell established organisation – over 40 yearsPart of a global organisationMulti Million pound turnoverFace to Face client visits Role: As a graduate sales executive, after your training and induction programme you will work alongside an experienced Regional Sales Manager to help develop relationships with a wide cross section of businesses. As a sales professional you will be responsible for developing existing accounts that the company have already worked with as well as prospect for your own clients. Due to face to face client visits, applicants will we be immaculately presented with good commercial acumen and have a degree in a business related subject. The Company: European brand leader in the provision of water cooler solutions for businesses has an exciting opportunity to join their highly successful trainee sales programme. Responsibilities as a Graduate Sales Executive will include:Contacting clients on a daily basisHitting targets on a daily and monthly basis Developing accounts at a variety of levels New Business development For this Graduate Trainee Sales position, we are looking for individuals who meet the following criteria:Educated to degree level or equivalent TenacityAbility to think on your feet Target focussedPeople skillsConsultative nature The Package for this Graduate sales role:**** Basic OTE ****Company CarMobileLaptopPension About BMS Graduate Recruitment LLP: We focus on helping future sales professionals to find graduate jobs and specifically graduates sales jobs. We specialise in graduate assessment, placement and sales training. Established in 1990, we’ve developed a strong brand, synonymous with graduate sales recruitment and sales training. We work with a prestigious client base of global companies and provide them with a range of services to ensure they attract, retain and develop the best graduate talent in the UK. Please visit our website at www.bmsgraduates.com or call Sharon Wright (Graduate Manager) on **** **** to discuss your job search.",Sheffield,full_time,,BMS   Graduate,Sales Jobs,careerbuilder.com,20000
29,Operations Analyst,"An Operations Analyst is required to work for a fastgrowing Technology company based in London City for a period of 3 months. Working on a specific project you will be reporting to the Finance Operations Manager and take responsibility for updating, data cleansing and producing reports using the SalesForce system. This is an exciting opportunity to work for a market leader in a newly created role which you will be able to make your own. It is essential that you have experience using the CRM system SalesForce in order to be considered for this role. Experience working in a similar role where you have been responsible for updating and cleansing data using the SalesForce system as well as producing reports from the system is also essential. On top of this you will take responsibility for various adhoc projects including creating a new commission model and handling various finance projects. Intermediate Excel skills is also key for this role. In order to be considered you must be immediately available and have strong attention to detail as well as strong communication skills as you will be liaising with the sales team on a day to day basis as well as the shared service centre in India. This job was originally posted as www.totaljobs.com/JobSeeking/OperationsAnalyst_job****",South East London,,contract,Stott & May,IT Jobs,totaljobs.com,26880
