Location,Min Salary,Max Salary,Median Salary
Wales,0.8333333333333334,0.8333333333333334,0.83333333333333337
The City,0.992,2.725,1.625
Stoke-On-Trent,0.6,0.6,0.59999999999999998
Warwickshire,0.7587,0.7587,0.75870000000000004
South Shields,0.8658,0.8658,0.86580000000000001
Bradford,0.4032,0.6464,0.52479999999999993
Lincoln,0.6685333333333333,0.6685333333333333,0.66853333333333331
Bodmin,0.4666666666666667,0.4666666666666667,0.46666666666666667
Edgware,0.56,0.56,0.56000000000000005
Lancashire,1.088,1.088,1.0880000000000001
Surrey,0.85,2.6666666666666665,0.85833333333333339
Dorset,0.8333333333333334,0.8333333333333334,0.83333333333333337
Maidenhead,0.9666666666666667,0.9666666666666667,0.96666666666666667
South West England,1.1666666666666667,1.1666666666666667,1.1666666666666667
Croydon,2.0,2.0,2.0
Birmingham,1.04,1.2,1.1200000000000001
North West England,1.25,1.25,1.25
Halifax,1.15,1.15,1.1499999999999999
Rickmansworth,0.95,0.95,0.94999999999999996
Berkhamsted,0.7333333333333333,0.7333333333333333,0.73333333333333328
Berkshire,1.5833333333333333,1.5833333333333333,1.5833333333333333
Hampshire,0.8833333333333333,1.1666666666666667,1.0249999999999999
Ashford,0.9113333333333333,0.9113333333333333,0.91133333333333333
Glasgow,0.544,0.544,0.54400000000000004
West Sussex,1.1666666666666667,1.1666666666666667,1.1666666666666667
Worcestershire,1.2333333333333334,1.2333333333333334,1.2333333333333334
Lincolnshire,1.4166666666666667,1.4166666666666667,1.4166666666666667
Sunderland,1.3074333333333332,1.3074333333333332,1.3074333333333332
Greater Manchester,2.0833,2.0833,2.0832999999999999
East London,1.04,1.04,1.04
Oxford,0.7,1.0,0.84999999999999998
Little Ilford,0.7666666666666667,0.7666666666666667,0.76666666666666672
Liskeard,0.72,0.72,0.71999999999999997
Wellingborough,0.4729333333333333,0.4729333333333333,0.47293333333333332
North East England,1.35,1.35,1.3500000000000001
Bristol,1.1333333333333333,1.1666666666666667,1.1499999999999999
Penge,1.04,1.04,1.04
Leicestershire,0.8,0.8,0.80000000000000004
Leicester,0.6005,0.6005,0.60050000000000003
Grange-Over-Sands,0.5932666666666667,0.5932666666666667,0.59326666666666672
Eastleigh,1.8333333333333333,1.8333333333333333,1.8333333333333333
Stamford,1.28,1.28,1.28
Salisbury,1.3946,1.3946,1.3946000000000001
Northern Ireland,1.8167,1.8167,1.8167
Cardiff,0.6,0.6,0.59999999999999998
South East London,0.5333333333333333,3.1,1.0916666666666668
